tconst,averagerating,numvotes
tt13259878,7.1,5153
tt13260836,7.1,2081
tt13261550,6.3,1161
tt1326238,6,2407
tt13263106,7.4,5159
tt13265204,5.1,1503
tt13265876,3,7032
tt13266012,6,1270
tt13266998,6.5,10536
tt13267034,6.4,1454
tt13269536,6.3,18448
tt13269580,7.4,7084
tt13269670,6.8,4724
tt13269706,7.4,2692
tt13270424,6.7,10117
tt13271734,7.7,2173
tt13288904,6.4,4337
tt13289248,6.2,1678
tt13309742,8.7,100988
tt13309978,5.5,5374
tt13310936,7.1,1806
tt13311344,7.7,5569
tt1331294,6.8,1003
tt1331329,3.8,2225
tt13313408,6.6,2047
tt13314510,7.6,2388
tt13314558,6.1,98186
tt13315156,6.5,30949
tt13315324,6.4,59786
tt13315432,4.6,1866
tt13315664,7.5,5679
tt13316062,3.5,1286
tt13316722,6.1,4701
tt13316746,7.9,7481
tt13316770,3.2,1319
tt13316790,6.2,3065
tt13317230,6.5,1098
tt13317320,6.3,1572
tt13317454,6.2,9454
tt13317478,7.1,7116
tt13317508,7,13167
tt13317582,7.8,12879
tt13317694,6.2,5973
tt13318052,5.8,6410
tt13318942,4.6,2189
tt13320622,6.1,174934
tt13320662,6.7,35665
tt13320784,6.9,3156
tt13321244,7.2,8049
tt1332134,7.4,20648
tt13321730,6.5,1746
tt13322120,4.2,11043
tt13322572,6.9,1140
tt13322702,8,5248
tt13322726,7.3,3314
tt13322938,7.2,2420
tt13323004,5.7,3351
tt13323092,6.5,2718
tt13323118,4.6,5145
tt13323170,7.1,1007
tt13323330,6.1,2004
tt13323566,6.4,8376
tt13323596,7.7,10837
tt13323626,6.8,1193
tt1332486,5.9,2044
tt13363298,7.5,2555
tt13363828,4.5,4271
tt13364380,3.6,1711
tt13364468,5.6,11573
tt13364790,6.9,3623
tt13365348,7.3,66654
tt13365482,7.2,1534
tt13365752,7.7,1051
tt13365786,6.8,1097
tt13365876,7,5092
tt1336601,4.8,2360
tt1336608,5.9,84238
tt1336617,6.3,37462
tt13366604,7.2,26608
tt13368190,7.1,3891
tt13368804,8.7,4495
tt13369990,6.6,2096
tt1337022,4.5,1019
tt13370404,6.4,7460
tt1337055,3.5,1021
tt13372794,5.3,8534
tt13372884,4.5,2578
tt13372944,4.9,2009
tt13372992,4.3,3113
tt13373182,7.2,2232
tt1337366,6.4,5062
tt13375076,6.1,100665
tt13375866,8.2,3942
tt1337673,7.1,1036
tt1337686,4.8,1104
tt13377488,5.5,2847
tt13379908,6.1,1105
tt13380288,5.1,1923
tt13380324,5.5,4178
tt13381368,7.1,2108
tt13381376,7.3,5814
tt1340094,4.7,40399
tt1340107,7.6,42946
tt1340138,6.3,305607
tt1340161,4.6,1506
tt13403046,6.7,90928
tt1340425,7.1,4956
tt13405778,5.5,62604
tt13405810,6.7,24829
tt13406036,5.6,28830
tt13406094,8,314136
tt13406136,5.7,16952
tt1340773,5.1,7975
tt1340778,6.1,1274
tt1340800,7,224847
tt1340803,4.7,1011
tt13409432,8.4,15342
tt13411298,6.5,1159
tt1341167,7.3,90312
tt13411722,7.7,1920
tt13411814,5.8,2430
tt1341188,5.4,57059
tt13412252,6.9,15362
tt1341340,5.2,2584
tt1341341,5.4,4604
tt1341710,5.5,14717
tt13419036,7.5,2254
tt13456318,5.8,39714
tt13456340,7.6,2377
tt13456976,4.9,3764
tt1345772,5.3,6884
tt1345777,7.3,11369
tt13457790,6,6152
tt13457822,5.7,8906
tt1345836,8.4,1973321
tt13458600,8.5,1716
tt13459376,6.1,1058
tt13460190,6.2,1663
tt13462472,6.4,1185
tt13462900,5.5,4777
tt13463778,6.5,2024
tt13464340,6.6,4503
tt13464350,4.9,1555
tt13464516,9.2,1784
tt13464740,5.3,1311
tt13465140,5.3,1569
tt13466166,7.4,4008
tt13468436,6.8,2072
tt13468602,4.6,6731
tt13468976,3.8,10616
tt13470278,6.7,1330
tt13470388,6.1,1215
tt13470984,7.8,2488
tt13471738,6.8,1640
tt13510660,6.7,43912
tt1351224,4.9,3580
tt13513268,7.5,1109
tt13514636,7.3,1756
tt13515090,6.2,3553
tt13515258,4.8,1585
tt1351685,6.3,154385
tt13517780,5.1,1163
tt1351784,3.6,2134
tt13519086,7.9,1381
tt13521006,6.6,77355
tt13523782,7.1,1610
tt1352388,3.9,6506
tt1352393,6.7,1815
tt13524234,8.4,5745
tt13524842,7.3,3173
tt13527546,7.4,1781
tt13550498,5.7,2599
tt13551614,7.5,6832
tt13553662,7.1,2004
tt1355630,6.7,131048
tt1355631,7,84428
tt13556320,7.6,1868
tt1355638,7.1,3942
tt1355644,7,490148
tt1355683,6.8,201383
tt13557082,6.1,2674
tt13557090,6.1,1649
tt13557628,5.1,1963
tt13559026,6.3,1612
tt13560574,6.5,221072
tt13561292,5.8,1387
tt13562400,7.4,4336
tt13562418,6.1,3413
tt13562778,7.7,1144
tt13562940,5.9,3973
tt13566172,5.6,6242
tt13567344,7.8,9849
tt1356763,6.9,2022
tt1356790,7.5,3257
tt13606528,8.5,3351
tt13607518,7.2,1302
tt13610158,5.4,2320
tt13610344,6,1911
tt13610562,4.7,30267
tt13610872,6.6,4278
tt13611770,5.5,2460
tt13612448,7.3,1705
tt13613056,5.5,1999
tt1361313,5.8,5571
tt1361318,5.5,17856
tt1361336,5.3,42840
tt1361349,6.5,2001
tt13614388,4.9,1955
tt13615386,6.4,3248
tt13616368,7.3,3430
tt13616990,8.3,95548
tt13617024,8.4,2016
tt13617060,6.4,5786
tt13617604,2.9,2949
tt13618148,7.1,1204
tt1361828,4.8,1286
tt1361835,6.9,8882
tt1361839,7,2292
tt13620358,7.2,2250
tt1362058,5.9,21092
tt13622118,6.4,2419
tt13622146,7.5,1507
tt13622180,5.3,1658
tt13622204,7.7,3626
tt13622776,7.4,138383
tt13622956,6.8,6853
tt13622958,7.2,9465
tt13622970,6.3,122090
tt13622982,7,27082
tt13623126,4.5,64985
tt13623148,6.7,45537
tt13623580,8.3,27974
tt13623608,7.1,16932
tt13623632,7.1,97379
tt13623772,7.1,1321
tt13623880,5,3072
tt13623916,7.5,5696
tt1366365,4.9,41136
tt1366409,6.2,3670
tt13664452,7.2,9886
tt13664684,7.8,65091
tt13666680,7.2,1327
tt13667230,6.4,5190
tt13667622,6.3,1327
tt13668894,7.1,206615
tt13669038,6.9,63045
tt13669128,7.8,11029
tt13670090,7.2,1234
tt13671922,7.6,2993
tt13671954,6.5,2066
tt13675832,9,35690
tt13676300,6.1,2365
tt13676344,6.6,12294
tt13678304,6.6,2216
tt13679628,8.7,3911
tt13680520,4.2,2965
tt13706018,8.2,59239
tt13710226,7,1074
tt1371111,7.3,385219
tt1371117,6.4,3972
tt1371150,6.7,93957
tt1371155,7.1,16544
tt1371160,6.8,1448
tt13714610,7.7,6488
tt13715448,7,6021
tt1371585,6.9,3004
tt1371631,6.3,1520
tt13717596,6.3,2043
tt13717980,5.5,5207
tt13718450,8.2,13797
tt13720112,7.8,21164
tt13721828,6.3,9158
tt13722764,6.7,2208
tt13723064,5.9,8203
tt13723084,7.6,6536
tt13723562,6.6,1581
tt13775584,6.9,2211
tt13776460,7.6,1961
tt13777028,7.6,6199
tt13778486,4.7,2010
tt13780990,4.2,1027
tt13781128,7.3,4780
tt13782052,5.9,2314
tt13782222,5,1812
tt13782428,7.6,1338
tt13783632,5.9,1491
tt13784584,6.3,5846
tt13786042,5.4,1620
tt13788764,8,3111
tt13788842,1,2871
tt13789092,6.7,2673
tt13790652,6.8,5342
tt13793230,6.8,12203
tt13793498,7.3,1284
tt13793502,6.5,1024
tt13795296,5.6,12979
tt13817770,6.6,1151
tt13818368,6.2,53845
tt13819960,5.6,47543
tt13820498,7.8,7484
tt13821126,6.2,8565
tt13821562,7.2,4446
tt13822738,5.8,9559
tt13823494,7.6,9561
tt13825336,5.5,6068
tt1382725,7.1,9834
tt13827606,7.2,1514
tt13829184,7.9,1748
tt13829262,5,5012
tt13271834,7.3,6558
tt1327194,6.4,117840
tt1327200,4.6,2849
tt13327038,6.3,56337
tt13328800,6.9,3490
tt13328824,7.4,2157
tt1333050,6.9,8859
tt1319704,5.4,9929
tt1319716,5.4,1746
tt1319718,6.8,16582
tt1319722,5.6,3649
tt1319744,7.5,3666
tt13197624,6.6,2123
tt13197812,5.4,1626
tt13235822,4.7,11570
tt1323594,7.6,626538
tt13236334,6.2,1036
tt13236566,5.9,13974
tt13238110,7.2,2328
tt13238304,6.6,18707
tt13238346,7.8,167959
tt1323973,6.3,7505
tt1324055,6.9,4604
tt1324061,6.8,1682
tt13240610,5.2,2403
tt13242960,7.5,4228
tt13243610,6.4,1319
tt13243836,8.2,3506
tt13243898,8.2,6175
tt13244092,7,2945
tt13245502,7.2,4192
tt13245934,7.2,1119
tt13246926,6.4,1754
tt13247118,8,1705
tt13247296,5.6,1072
tt13248062,6.3,2065
tt13248076,7.3,5244
tt13249198,7.5,2161
tt13249204,7.3,1289
tt13249596,5.9,14717
tt1324999,5,270820
tt1325004,5.1,278895
tt1325014,6.6,4996
tt1329177,5.1,1849
tt1329232,5.2,2252
tt13293184,4,1034
tt13293588,8.2,34900
tt1329404,3.8,1413
tt1329457,6.9,10604
tt13298992,6.3,3108
tt13299052,5.2,4036
tt13299890,8.1,11060
tt1330018,6,5016
tt13302660,4.7,1528
tt13304286,6.7,7953
tt13304410,7.4,25072
tt13304584,6.1,2083
tt13304700,8.1,15711
tt13304732,7.6,1103
tt13308276,7.1,1993
tt13308316,6.1,1862
tt13309170,6.2,20761
tt13345606,6.5,164907
tt13345636,6.5,1024
tt1334573,6.2,2507
tt13349280,6.1,3925
tt13349716,7.6,16773
tt13349892,6.4,3630
tt13350066,6,1553
tt13350412,4.3,2458
tt13350688,6.4,2234
tt13351440,2,1690
tt13352232,6.5,5537
tt13352376,6,1514
tt13352838,7,2118
tt13352968,7.2,43775
tt13353168,8,9312
tt13353370,5.9,1174
tt13353486,6.5,1102
tt13354188,7.3,3315
tt13354204,6.7,6285
tt13354972,7,5593
tt13355234,7.6,4257
tt13356044,6.5,1361
tt13356246,7.1,1767
tt13356580,7.4,1335
tt13356646,6,6175
tt13356884,7.1,3665
tt13357124,7.3,7342
tt13357140,7,6170
tt13357234,7,1479
tt13357258,6.7,1491
tt13357492,8.3,2057
tt13357520,6.4,64988
tt13357946,5.8,3962
tt13358022,5.3,2126
tt13358054,6,1403
tt1335975,6.2,178730
tt13361442,3.5,1021
tt13361448,7.3,26204
tt13361648,5.9,1759
tt13362302,7.3,1366
tt13362890,4.1,2712
tt13382698,5.1,3483
tt13387422,6.8,1095
tt13387604,6.8,2998
tt13389730,6.8,1814
tt13391432,7,3211
tt13391444,7.1,1214
tt1339161,6.7,4709
tt13391696,6.1,5029
tt13391708,6.7,5953
tt13391710,8.3,21586
tt13392012,4.3,6706
tt13393128,7.3,1675
tt13393728,7.1,2319
tt13394544,7.6,5494
tt13397574,6.3,23653
tt13399402,7.3,3328
tt13399946,6.8,2613
tt13400006,8.6,14966
tt13400142,7.1,1428
tt13400300,7.4,1770
tt13400336,3.9,1606
tt13421132,6.6,6464
tt13421498,6.7,10446
tt13423468,6.8,1459
tt13423846,1,10283
tt13424422,7.2,2547
tt13427680,7.3,2042
tt13428402,7.5,5939
tt13428686,6.3,1246
tt13428892,3.1,1178
tt13429362,5.1,12733
tt13429870,7.6,23987
tt13429928,3.5,1170
tt13430420,7.6,7323
tt13430782,7.8,3583
tt13430858,6.3,12224
tt1343092,7.2,637251
tt13430932,4.1,1166
tt13431512,7.6,1404
tt13432484,3.3,3375
tt13433802,6.3,170752
tt13433812,8.4,39032
tt13433814,7.3,1854
tt13434562,5.4,4198
tt13434866,3,1740
tt1343703,7.4,11075
tt1343704,3.1,5845
tt1343727,7.1,310312
tt13437388,7,1549
tt13437466,7,1298
tt13437728,3.7,1044
tt13491834,5.9,3714
tt13492374,7.1,11784
tt1349451,6.2,23122
tt13495314,6.6,2157
tt13495458,6.7,6012
tt13496236,3.4,2813
tt13497984,5,2639
tt13498824,6.8,2421
tt13502736,5.9,6672
tt13502758,5.4,1224
tt13503770,7.8,4365
tt13507778,6.4,10254
tt1352765,7.2,1561
tt13528102,7,1455
tt13528562,7.1,1997
tt13528564,7.6,9575
tt13528822,3.4,2815
tt13529034,6.6,18978
tt13529854,6.2,9338
tt13530014,7.6,1179
tt13531020,6.4,2521
tt13531468,7.1,3885
tt13533944,4.6,1313
tt13534806,5.9,1253
tt13534808,6.8,8239
tt13534870,7.1,1571
tt13535454,6.3,1755
tt13535456,6.4,1706
tt13535920,6.1,4024
tt13539646,6.7,16151
tt13540900,7,2608
tt13542714,7.4,26201
tt13544716,7,7381
tt13544772,8.3,1144
tt13544802,7.2,3341
tt13545522,4,3713
tt1356864,6.1,24840
tt13570366,7.6,1466
tt13575806,6.5,12225
tt13577982,8.9,2248
tt13580484,5.3,1769
tt13580840,7.5,1892
tt13580888,6.3,1465
tt13582526,7.3,1109
tt13582638,8.6,8312
tt13582682,8.6,1217
tt13582752,7.1,1010
tt13583144,5.9,5570
tt13583468,1.2,9669
tt13585362,7.2,1682
tt13586204,5.3,24752
tt13587032,7.7,1671
tt13623992,7.8,3471
tt13624052,8,5401
tt13624054,8,6190
tt13624868,3.7,1044
tt13624900,4.9,5977
tt13626200,5.3,1227
tt13628688,8.3,1408
tt13628870,6.4,2572
tt13629530,6.3,2190
tt13630174,7.3,1832
tt13632182,5.6,1053
tt13634306,6.2,1198
tt13634444,6.5,2611
tt13634480,4.4,19553
tt1363468,5.4,1354
tt13634792,8.6,17468
tt13634872,8.1,7343
tt13635348,1.6,2334
tt13635702,4.4,3027
tt13635872,6.5,2578
tt13635908,7.2,1059
tt13636038,7.3,6449
tt13638858,6.7,11923
tt13639204,6.2,2427
tt13640670,6.7,39827
tt13640696,6.5,72891
tt13640946,6.9,4269
tt13642264,7.2,2335
tt13683866,8.4,6554
tt13684264,7.5,3077
tt1368440,4.6,9480
tt13686748,2.5,3141
tt1368858,5.3,4995
tt1368870,4.8,1291
tt13690576,7.4,10314
tt13691036,5.6,1320
tt13694628,7.1,12710
tt13694702,6.4,8077
tt13694706,3.6,2347
tt1369571,3.3,1199
tt13696296,4.8,1353
tt13696378,8.1,1937
tt13696452,5.9,10279
tt13696668,6.8,1690
tt1369667,6.6,1606
tt13696808,6.5,1541
tt1369706,5.5,47123
tt13698928,6.6,5998
tt13698942,5.1,7173
tt13699132,6.5,1658
tt13701962,5.6,3977
tt13702796,6.3,4063
tt1374985,6.6,1674
tt1374989,5.8,63923
tt1374990,5.9,1769
tt1374992,6.3,75621
tt13751472,7.6,2860
tt13751694,6.2,113395
tt1375666,8.8,2781832
tt1375669,6.5,3159
tt1375670,6,308445
tt1375710,4.8,1202
tt13757540,6.4,1410
tt1375789,5.4,18353
tt13758250,3.4,1428
tt13758670,6.6,1613
tt13758684,6.8,1135
tt13758760,7.1,3663
tt13759970,8.1,9034
tt13760814,6.9,1619
tt13760918,5.5,1089
tt13761140,7,1020
tt13761148,7.3,1803
tt13761284,4.3,1907
tt13761658,6,4442
tt1376168,4.6,1717
tt1376195,6.4,4343
tt1376213,5.5,7544
tt1376233,6.6,1046
tt1376699,5.3,2400
tt1376709,6,2141
tt1376717,7.1,6997
tt13767550,4.7,1606
tt13773600,7.9,8586
tt13773770,4.8,1116
tt13773882,4.9,1984
tt13774454,6.3,4484
tt13774526,7.2,2981
tt1379690,8,3464
tt13797216,2.7,1905
tt1379722,7,3500
tt13798316,5.8,6049
tt13801462,6.6,8545
tt1380151,4.1,1301
tt1333125,4.4,119523
tt13332268,6.8,1174
tt13332610,2.9,4221
tt13332622,6.1,4850
tt13334578,2.6,10721
tt13334870,6,2369
tt1334102,5.3,30524
tt13341400,6.4,2023
tt13341408,6.8,1110
tt13341414,7,4146
tt13341432,6.3,1547
tt13341592,6.6,1956
tt13341848,6.7,1616
tt13341908,6.1,1034
tt13342118,6.1,1143
tt13342190,6.8,1313
tt13342238,6.8,1890
tt13342406,6.9,1769
tt1334260,7.1,159241
tt1334470,5.4,5029
tt13344860,6.4,1716
tt1334512,5.7,53770
tt1334536,4.3,2139
tt1334553,6.7,30556
tt13438734,4.3,4270
tt13439476,3.6,19229
tt13439744,2.7,4424
tt13440294,8.2,2712
tt1344204,8.3,63271
tt13443470,8,487677
tt13444408,8,18729
tt13444580,6.8,1120
tt13444828,7.5,7031
tt13444912,6.5,40335
tt13445076,6.1,2781
tt13446126,5.2,1831
tt13446168,6.5,17562
tt13446244,7.4,2795
tt13446424,4.8,1738
tt13449624,6.1,43350
tt13450470,6.2,1921
tt13451112,4.3,1248
tt13451410,6.8,19981
tt13451738,6.7,2373
tt13451792,4.2,1257
tt13452100,4.1,10626
tt13452446,6.1,117380
tt13452944,6.4,1483
tt13453006,7.1,42246
tt13453326,6.4,1042
tt13454122,6.4,1346
tt13454228,3.6,1504
tt13454498,6.2,1802
tt13473548,7.1,2344
tt13475676,3.4,1815
tt13479592,5.4,1691
tt13479822,2.8,1141
tt13482806,6.4,6180
tt13482828,6.9,8860
tt13483212,6.7,2427
tt13483866,6.5,4285
tt13484872,7.3,3643
tt13485172,6.4,3391
tt13486236,1.7,1496
tt13487106,8.4,1349
tt13487922,3.6,1900
tt13491110,6.1,43319
tt13491620,7,2749
tt13491678,6.9,16468
tt13588944,8,2041
tt13589004,7,2986
tt13592218,7.6,3687
tt13592494,7.3,1481
tt13592970,5.8,2201
tt13593942,5.5,1008
tt1359553,5.5,2058
tt13598976,6.6,3656
tt13598996,2.7,1005
tt13599178,6.8,1728
tt13603190,5.5,1215
tt13603778,5.4,2449
tt13603966,5.7,67706
tt13605268,6.4,1049
tt13605284,5.7,1548
tt13606088,7.1,2141
tt13606142,6.4,1065
tt13606148,6.2,1798
tt13606158,5.9,1774
tt13643704,7.3,11825
tt13645322,4.7,2695
tt13648184,6.2,1046
tt13648212,7.1,4540
tt13648220,6.6,3530
tt13648224,5.4,8608
tt13648228,5.4,4964
tt13648230,7.6,1971
tt13648270,7.2,3698
tt13649036,7.6,13449
tt13649112,7.7,187251
tt13649314,6.8,7287
tt13649396,7.5,16367
tt13649510,7.1,4568
tt13649532,6.7,1267
tt13649692,6.2,2566
tt13649700,6.7,4110
tt1365030,7.9,3142
tt1365047,8,1537
tt1365048,4.3,3131
tt13650480,6.5,5505
tt13650494,6.3,1867
tt1365050,7.7,90778
tt13650540,6.4,3654
tt13650600,6.2,10658
tt13650700,6,17141
tt13650742,6.7,8072
tt13650814,5.5,8543
tt13651462,6.8,4215
tt13651628,7,20089
tt13651632,7.5,33458
tt13651794,6.7,72130
tt13651858,3.8,4105
tt13652142,7,6359
tt13652286,6.4,24598
tt13654122,6.1,3747
tt13654226,6.7,161439
tt1365483,4.8,3171
tt13655120,5.3,14135
tt1365519,6.3,239824
tt13655266,4.4,1160
tt13655328,4.8,9666
tt13655456,7.4,21688
tt13656980,6.5,3853
tt13657062,6.7,6660
tt13657102,6.7,1547
tt13657394,5.2,1055
tt13659418,7.2,43301
tt13659918,5.4,1613
tt13660270,6.6,1047
tt13660288,7.9,3982
tt13660638,6.7,2738
tt13660780,8.5,4207
tt13660916,5.8,3414
tt13660938,8.7,7865
tt13660958,8,9082
tt13660962,5.8,3880
tt13661118,8.6,13467
tt13661368,4.6,1355
tt1366338,5.7,2830
tt1366344,5.6,74604
tt13726244,5.9,1168
tt1372686,6.1,34795
tt1372689,5.1,1057
tt13728634,7.1,1394
tt13729062,5.9,9297
tt13729210,6.5,1015
tt13729220,6.8,4368
tt13729232,6.6,2240
tt13729364,6.7,1015
tt13729648,7.1,27571
tt13731400,7.7,1826
tt1373156,7.2,16267
tt13732354,7,1104
tt13830148,6.7,1239
tt13831266,6.3,1609
tt13831504,7.1,2835
tt13833688,7.6,277093
tt13833978,7.8,87836
tt13834006,6.3,8423
tt13834480,5.1,5005
tt13834788,7.3,1743
tt13835046,2.9,1407
tt13835440,7.1,1780
tt13853152,8.8,2866
tt13853720,5.8,1137
tt13854248,9.1,13737
tt1385543,4.7,2911
tt13856804,6.3,1062
tt13857476,8.3,3147
tt13857556,5.3,4769
tt1385826,7,280991
tt1385867,5.5,92283
tt13859494,7.6,1652
tt1385956,7.4,7708
tt13860794,7.1,1127
tt13861620,5.8,8147
tt13863334,4.7,3047
tt13863968,8,1878
tt13865736,6.2,2358
tt1386588,6.7,306982
tt13866142,6.4,1399
tt1386683,6.9,7737
tt13866866,6.5,1922
tt1386691,6.3,17656
tt1386697,5.9,755002
tt1386703,6.2,275409
tt13868972,8.8,20149
tt1386925,5.7,9956
tt1386932,7.5,115935
tt13870774,7.1,1027
tt13871094,6.7,1498
tt13872248,6.5,25650
tt13872480,7.3,3077
tt1391092,7.5,3785
tt1391116,4.9,2034
tt13911284,8.1,26403
tt1391137,4.8,10749
tt1391140,8,1641
tt13911628,8.2,53409
tt13911962,7.4,1739
tt13912632,6.6,11274
tt13913068,6.3,2495
tt13913326,7.9,2448
tt13914000,7.8,4231
tt13918550,4.5,4837
tt13918776,7.4,149933
tt13919696,7.1,4481
tt13919802,6.3,22822
tt13920920,6.5,2725
tt13920988,7,2120
tt13921156,5.4,1274
tt13921170,4.3,1015
tt13921588,6.9,2032
tt1392170,7.2,1072064
tt1392190,8.1,1196571
tt1392197,4.4,18612
tt1392214,8.2,918031
tt1392307,7.3,3072
tt13923084,6.4,39472
tt13923092,6,1490
tt13923096,5,2541
tt13923216,6.3,7264
tt13923456,5.4,13900
tt13924304,7.1,2224
tt13924416,6.5,2957
tt13924484,5.2,1438
tt13924926,3.8,2022
tt13925142,7.8,5045
tt13925166,6.6,5413
tt13925862,6.6,1194
tt13925988,5.6,1092
tt13926298,6.3,6954
tt13926310,7,1121
tt1392744,4.8,3260
tt13927994,6.7,78095
tt13929756,6.6,3370
tt13929916,7.5,4176
tt13929998,5.5,6342
tt13956452,7.4,2484
tt13956466,7,1591
tt13956548,6.5,1051
tt13956560,6.4,2854
tt13957560,6.8,61778
tt13961348,7.2,4186
tt1396208,4.4,7809
tt1396218,6,111984
tt1396219,5.3,2889
tt1396221,4.5,9126
tt1396226,7.3,17937
tt13964390,5.2,38987
tt13964404,5.4,5850
tt13964560,4.7,5484
tt1396484,7.3,685889
tt1396523,5.3,4475
tt13966962,5.9,48125
tt13968252,6.2,8687
tt13968380,5.3,1100
tt13968674,5.8,10171
tt13968792,6.3,4162
tt13971512,7.2,1136
tt1397176,6,1112
tt13971916,7.1,1478
tt13972246,7.9,1676
tt1397280,6.2,335390
tt13973190,8.5,2671
tt1397498,6.1,4104
tt1397514,5.7,119883
tt13975458,4.5,3139
tt1399655,6.1,1234
tt1399664,8,125677
tt1399683,7.1,156931
tt14001894,5.3,8755
tt14002046,7.5,15476
tt1400515,3.5,1940
tt14005338,6.1,2625
tt14010168,6.8,3130
tt14010212,8.1,1358
tt14010516,4.1,1028
tt1401113,6.5,11035
tt1401143,6.6,35354
tt1401152,6.8,275770
tt14011910,7.8,5081
tt1401236,4.3,2000
tt14013772,4.2,5166
tt14014068,5.5,4364
tt14014078,6.6,1236
tt14014086,5.5,1791
tt1401607,4.8,1444
tt1401621,6.5,1851
tt1401636,6.3,3597
tt1401643,6.8,3140
tt14016500,7.3,70038
tt14016574,6.5,4273
tt1401672,6.8,1130
tt14016830,4.1,1726
tt14019016,7.1,1338
tt14022026,7.2,1371
tt14022350,7.7,11772
tt14022668,6,10115
tt14022728,8.1,2764
tt14023192,7.6,2132
tt1402488,5.8,50509
tt14025544,6.7,1238
tt14025788,6.1,5630
tt14028056,6.4,1203
tt14028208,6.2,1890
tt14028890,7.2,1939
tt1403047,6.5,2175
tt14030526,7.8,1106
tt14030682,7.7,1299
tt14030816,5.4,15340
tt14031338,7.1,3311
tt1403144,5.9,3602
tt1403177,6.9,55463
tt1403214,7,10808
tt14032336,5.9,1955
tt1403241,5.3,11056
tt14032696,7.1,4252
tt14033342,4.7,2992
tt14033496,7.2,1572
tt14033502,6.5,11795
tt14034294,5.2,5144
tt14034614,6.7,4182
tt14034966,7.5,11154
tt14035048,8.1,1053
tt14035108,6.2,1298
tt14035154,6.8,2399
tt14035242,7,2397
tt14035292,6.9,3790
tt14035948,6.3,1796
tt14036276,4.3,1217
tt14036920,6.4,4653
tt14037272,4.3,1898
tt1403862,3.4,3196
tt1403865,7.6,374199
tt14039028,6,1165
tt14039046,6.6,1433
tt14039078,6.6,1368
tt14039086,5.1,2741
tt14039346,5,1003
tt14118266,6.5,1611
tt1411956,6.8,2105
tt14121726,2.6,17016
tt14122288,6,1427
tt14123284,5.6,66625
tt1412386,7.2,103416
tt14124080,7,9837
tt14124236,6.8,11229
tt14124268,6.8,10429
tt1412442,6.2,1882
tt1412528,5.8,33068
tt14126234,8.1,3496
tt14127738,3.8,1340
tt14127944,5.4,1047
tt14128670,6.3,42797
tt14129378,7.3,5636
tt14129418,5.8,2799
tt14130104,6.4,1533
tt14132588,5,3413
tt14134070,2.7,1225
tt14134550,8.4,7511
tt1413489,3.6,1276
tt1413492,6.5,99974
tt1413495,5.6,40241
tt1413496,7.1,1937
tt1413529,7,1476
tt14136452,8.3,4698
tt14136806,7,1398
tt14137346,6.9,2237
tt14137392,8,1527
tt14137416,7,4517
tt14153686,6.4,7723
tt14153790,1.6,81201
tt14155414,6.9,1524
tt14155746,7.4,3729
tt14156154,7.1,1947
tt14158346,4.9,2918
tt14158554,4.5,8057
tt1415889,7.1,26870
tt14160660,7.1,10688
tt14160684,7,5934
tt14160712,7,10547
tt14160834,6.5,14549
tt1416336,4.5,1805
tt14163772,6.3,2309
tt14163838,6.5,1793
tt14164234,5.6,2984
tt14164730,8,148258
tt14164922,7.9,6822
tt14166656,7,3807
tt14166666,8.3,3309
tt14167338,7.9,8940
tt14167344,7.7,11822
tt14167390,7.4,14186
tt14167424,4.3,1602
tt14167428,4.9,1730
tt1416765,8.3,43379
tt1416801,7,54333
tt14168118,7.1,10240
tt14168162,8.4,38787
tt14168394,4.1,3715
tt14169770,8.2,6071
tt14169816,7.3,1190
tt14169960,7.6,87683
tt14170016,8,3592
tt1417067,7.2,2737
tt1417075,7.3,11490
tt1417108,5.4,5899
tt14171256,7.7,1523
tt14215442,7.5,6906
tt14217100,7,15087
tt14218674,6.8,11495
tt14218830,8.2,50631
tt14219486,5.2,1323
tt1422020,7,14291
tt1422032,7.4,15438
tt14220870,7,7963
tt1422136,6.2,32048
tt14223310,7.6,1798
tt14223858,6.5,5103
tt14225838,7.6,17365
tt14226626,6.8,2848
tt14227048,5.7,32928
tt14227972,6.6,1063
tt1422800,5,2075
tt14228078,6.8,1012
tt14229154,4.8,1915
tt14230388,6.4,142411
tt14230458,7.8,384247
tt14230846,6.3,2052
tt14253846,6.6,62570
tt14256092,6.1,1025
tt1425624,5.3,1154
tt14257582,6.5,100436
tt14257662,6.7,2983
tt1425922,4.8,2477
tt1425933,6.7,2093
tt14260080,5.3,4474
tt14260566,7.3,2407
tt14260836,7.5,43783
tt14261112,7.3,39273
tt14261264,6.3,8815
tt1426320,5.9,1570
tt1426329,6.2,44420
tt14263564,7.3,21250
tt1426363,5.4,2436
tt13733780,5.9,1302
tt13733810,9.5,1188
tt13735930,7,5509
tt13737848,6.3,1237
tt13743656,4.5,2058
tt13743822,6.8,1824
tt13745850,6.6,20534
tt13748376,6.6,1146
tt13873302,6.5,31346
tt13874422,5.9,7478
tt13875460,8.6,2630
tt13875494,7.1,27330
tt13876280,8.3,1584
tt13878694,6.2,5245
tt13879466,6.6,14751
tt13880104,7.4,13716
tt13882736,5.9,1419
tt13884052,6.1,1909
tt13884144,6.4,1830
tt13884444,6,2846
tt13885302,8.7,3890
tt13885320,7.1,10364
tt13885336,7.9,3761
tt13885428,7.4,12081
tt13885492,7.4,1925
tt13885592,6.7,1460
tt13885642,5.7,2713
