tconst,averagerating,numvotes
tt0455323,6.4,18188
tt0455407,6.5,136659
tt0466893,6.5,19316
tt0469021,6.9,33985
tt0472181,5.4,103514
tt0472399,6.5,181774
tt0473075,6.5,315960
tt0475290,6.3,149144
tt0475784,8.4,555468
tt0477080,6.8,217796
tt0493076,5.4,3180
tt0493405,6,53819
tt0493949,6.5,21038
tt0762138,5.6,12775
tt0765446,5.8,27897
tt0768222,3.7,3333
tt0775440,4.5,32803
tt0775489,7.4,37468
tt0775543,6.2,1905
tt0790628,5.9,77939
tt0790636,7.9,544738
tt0790663,7.4,5032
tt0790724,7,388502
tt0790736,5.6,150713
tt0790770,6.4,10967
tt0790788,5.6,1981
tt0803061,7.3,20790
tt0803096,6.7,293327
tt0814255,5.9,213903
tt0815236,6.4,152062
tt0816442,7.5,147032
tt0816462,5.2,105554
tt0816692,8.7,2472243
tt0816711,7,775732
tt0817177,7.7,105684
tt0817230,5.8,129286
tt0817545,5.1,4400
tt0825283,3.6,4791
tt0831280,5.5,1636
tt0831387,6.4,461528
tt0837156,6.1,9771
tt0837562,7,309625
tt0837563,5.7,104133
tt0842926,7,137055
tt0848228,8,1544684
tt0848537,6.6,113823
tt0850677,4.5,3329
tt0857190,6.1,21087
tt0872230,4.8,22474
tt0881320,5.9,58545
tt0882977,6.4,95527
tt0883391,6.7,1007
tt0884214,4.2,1307
tt0884726,4.9,6526
tt0884732,6.6,84394
tt0887143,2.8,1146
tt0896872,7.1,37022
tt0899043,6.5,92574
tt0910885,5.2,8960
tt0914376,7.3,6950
tt0914863,7,99480
tt0929618,3.5,1594
tt0938283,3.9,180488
tt0938305,5.6,24332
tt0938330,4.9,70585
tt0944835,6.5,341460
tt0944947,9.2,2534038
tt0945513,7.5,578368
tt0961097,6.7,24021
tt0963966,6.1,175911
tt0974015,6,501903
tt0975645,6.8,83080
tt0985694,6.6,209129
tt1002563,5.7,4077
tt10027946,6.6,1084
tt10027990,6.5,1730
tt10028196,5.6,181221
tt10032342,7.7,1334
tt10036104,7.1,1883
tt10037014,5.9,11070
tt10037034,7.5,3223
tt10060094,5.6,22397
tt10062292,7.8,93017
tt10062338,5.3,1802
tt10062556,4.2,26436
tt10062614,5.4,4949
tt10062652,6.6,5067
tt10064124,7.1,3045
tt10065694,5.8,31615
tt10068158,7.4,1124
tt10068544,7.8,1399
tt10068916,8,7220
tt10068932,6.7,2700
tt10069166,3.9,1696
tt10069398,7.7,20297
tt1007029,6.4,116510
tt10072662,5.6,1034
tt10073114,8.8,3216
tt10075318,6.9,25664
tt10077034,4.2,3306
tt10077544,6.4,2208
tt10115562,6,2510
tt10116578,9.5,1958
tt10117768,6.8,1436
tt10121372,8.2,1419
tt10121392,4.6,48154
tt10121762,7,1027
tt10122020,7.7,2535
tt10122474,6.7,2608
tt10123698,6.4,1060
tt10123970,8.2,6576
tt10126136,3.9,4343
tt10126434,5.7,5693
tt10127562,6.5,3447
tt10127684,6.1,10683
tt10127708,5.8,6341
tt10128846,4.7,41061
tt10131024,5.7,11752
tt10132196,2.7,3306
tt10133066,7.8,1162
tt10133226,7.2,1486
tt10133300,7.9,1981
tt10133318,5.5,1610
tt10133370,6.8,1069
tt10133702,8,1204
tt10135068,7,1502
tt10136826,6.8,1721
tt10136840,6,1230
tt10136854,6.5,1829
tt10136864,5.4,1195
tt10136884,6.7,1592
tt10136898,6.5,2179
tt10136908,6.2,1197
tt1013743,6.3,223622
tt1013860,5.1,16070
tt10140028,6.7,7048
tt10143498,6.3,2657
tt10145122,6.6,8485
tt10147382,6.3,2485
tt10147520,6.6,5037
tt10147546,7.6,8353
tt10147580,5.8,3180
tt1014759,6.4,464823
tt1014763,6.4,79317
tt10147644,7.8,42753
tt10147910,5.6,1369
tt10148118,4.7,3485
tt10148150,7.4,1008
tt10148174,4.6,20143
tt10198072,4.3,1036
tt10198564,4.3,1937
tt10198930,5.3,1973
tt10199586,6.7,11123
tt10199590,7.6,30278
tt10199640,7.2,13025
tt10199664,7.2,2234
tt10199670,4.5,1568
tt10199914,6.8,19356
tt10199974,8,4907
tt1020072,7.5,98752
tt10203842,7.2,1389
tt10203880,6.1,12334
tt10204366,6.7,2314
tt10204658,6.8,1196
tt10204940,7.3,3229
tt1020558,6.3,89251
tt10207090,4.3,6525
tt10207710,4.9,1479
tt1020773,7.2,28699
tt10208194,6.7,3301
tt10208198,7,32146
tt1020938,7,7605
tt10210182,6.4,1359
tt1023114,7.3,126915
tt10231312,7.7,37392
tt10233448,8.8,126512
tt10233718,7.2,7393
tt10234362,6.7,24898
tt10234724,7.3,306673
tt10235600,3.7,1515
tt10235718,4.9,3300
tt10236164,7.5,19221
tt10237612,7.2,1109
tt10237790,7,1041
tt10238792,5.1,5171
tt10239930,3.2,1107
tt10240612,3.7,3548
tt10241238,5.7,3195
tt10241772,5.3,3169
tt10242266,7.2,1129
tt10242388,5.7,35640
tt10242848,7.8,1036
tt10243628,7.1,1451
tt10243672,7.1,11448
tt10243676,5.4,1234
tt10243678,6.5,5575
tt10243692,7.5,2096
tt10243992,6.2,10553
tt10244600,8.3,31838
tt10244612,6.8,3040
tt10244726,6.8,1353
tt10245072,5.6,39947
tt10245106,6.4,1660
tt1024648,7.7,662310
tt10247678,3.2,4148
tt1024855,5.1,1421
tt10249780,7.1,1574
tt1025100,5.7,130105
tt10251538,5.5,1520
tt10252330,6.5,1020
tt10253244,7.7,2299
tt10253466,5.6,3402
tt10253816,6.8,1998
tt10256238,7.9,1169
tt10256570,6.7,3041
tt10259078,8.2,1383
tt10260042,7,1999
tt10260294,4.1,1215
tt10260692,5.2,1444
tt10262380,5.9,6278
tt10262630,7.6,11650
tt10262648,7.2,18240
tt10263320,1.4,10243
tt10264340,2.4,3315
tt10265034,6.7,17439
tt10265158,7.9,4142
tt10266874,6.7,11059
tt10320398,8.1,2379
tt10322274,7.4,27351
tt10323338,7.3,27138
tt10323676,5.8,34644
tt10323688,5.6,1486
tt10324122,5.1,6893
tt10324144,8.1,41095
tt10324164,8.4,12384
tt10324166,6.9,6522
tt10324306,6.6,3074
tt10327252,5.4,48177
tt10327294,5.9,2398
tt10327354,7.7,26081
tt10327412,6.6,3088
tt10327440,7.1,1029
tt1032751,6.3,27929
tt10327526,6.3,2066
tt1032763,5.4,2255
tt10327830,7.6,9885
tt10327842,3.2,1372
tt10328494,7.6,1066
tt10329024,7.1,6465
tt10329028,7.2,4978
tt10329042,7.1,6806
tt10329046,6.7,2462
tt10329134,7.3,9577
tt10329566,6,3697
tt10329614,5.9,22695
tt10329642,7.6,4567
tt10329842,4.7,3679
tt10330046,7.4,1045
tt10332272,6.2,1099
tt10332508,8.6,27731
tt10332588,6.1,12543
tt10332672,5.9,2194
tt10332854,3.5,1271
tt10333426,5.4,21666
tt10333912,6.3,14046
tt10334148,5.5,9476
tt10334222,6,1235
tt10334410,6.1,1863
tt10312776,6.9,2706
tt10312854,5.9,2139
tt10312964,6.3,2957
tt10313066,7.5,14177
tt10313176,6.8,11868
tt10314040,4.4,1252
tt10314450,6.1,30022
tt10314462,8.1,20047
tt10314548,6.1,3997
tt10315050,5.3,3635
tt10318332,6.9,1531
tt10319486,3.8,4296
tt10319866,7.1,3043
tt10320050,7,8960
tt10369966,7,1511
tt10369978,7.1,1738
tt10370042,3.6,1012
tt10370116,8.3,3543
tt10370380,7.2,4054
tt10370710,7.7,122420
tt10370750,8.5,1743
tt10370812,6.9,6602
tt10370822,5.6,3037
tt10370932,7.6,2772
tt1037222,5.2,2284
tt0337692,6,44590
tt0339736,5.6,4444
tt0365545,6.4,10306
tt0365907,6.5,131482
tt0369610,6.9,722726
tt0374463,8.3,142318
tt0383010,5.2,34503
tt0401729,6.6,297616
tt0404978,5.7,26753
tt0425118,8.1,27100
tt0433035,7.1,377803
tt0445054,6.5,9308
tt0446029,7.5,492696
tt0448022,6.6,1580
tt0448115,7,410263
tt0448694,6.6,208944
tt0455944,7.3,460923
tt0460890,6.4,19577
tt0461336,5.9,2051
tt0462335,5.5,47259
tt0470752,7.7,632490
tt0471042,6.2,156693
tt0479997,5.4,102301
tt0480239,5.6,14745
tt0480255,6.2,111008
tt0480687,5.9,135587
tt0481499,7.1,249260
tt0485061,6.3,3273
tt0485985,5.9,38447
tt0489974,7.7,87928
tt0490215,7.2,132272
tt0491152,5.8,67204
tt0491175,5.8,49609
tt0491203,6.2,24347
tt0492389,3.9,19079
tt0499097,5.8,70130
tt0499400,7,10788
tt0756727,7.6,1981
tt0758752,6.7,247655
tt0780504,7.8,754983
tt0780548,6.4,10867
tt0780645,4.1,2859
tt0780653,5.9,117063
tt0804463,6.1,25437
tt0804484,7.6,123976
tt0804497,7.1,151536
tt0805647,5.4,50943
tt0822847,5.7,128988
tt0829150,6.2,221435
tt0829176,3.6,8710
tt0835418,5,9026
tt0835775,4.6,1100
tt0835802,5.5,1853
tt0839742,7.1,2261
tt0840361,7.5,443516
tt0844993,4.7,14746
tt0847825,4.8,1990
tt0858411,3.1,2751
tt0859635,6,29755
tt0860907,6.9,21381
